

Country,TotalCases,NewCases,Deaths,NewDeaths,Recover,ActiveCases,Serious,CasesParMillion,DeathParMillion,Tests,TestParMillion,Continent
Bosnia and Herzegovina,1421,8,55,1,538,828,4,433.0,17.0,21432,6533.0,Europe

Lithuania,1410,12,40,-1,430,940,17,518.0,15.0,90992,33425.0,Europe

Slovenia,1373,7,80,1,211,1082,23,660.0,38.0,45703,21984.0,Europe

Slovakia,1360,35,17,2,355,988,8,249.0,3.0,61261,11221.0,Europe

Afghanistan,1351,72,43,1,188,1120,7,35.0,1.0,6422,165.0,Asia

North Macedonia,1326,26,57,1,337,932,14,636.0,27.0,13649,6551.0,Europe

Cuba,1285,50,49,6,416,820,11,113.0,4.0,36134,3190.0,North America

Ghana,1279,125,10,1,134,1135,4,41.0,0.3,88188,2838.0,Africa

Bulgaria,1188,91,54,2,193,941,37,171.0,8.0,27000,3886.0,Europe

Hong Kong,1036,-1,4,-1,699,333,9,138.0,0.5,131786,17579.0,Asia

Ivory Coast,1004,-1,14,-1,359,631,-1,38.0,0.5,-1,-1.0,Africa

Djibouti,999,13,2,-1,330,667,-1,1011.0,2.0,11090,11225.0,Africa

Nigeria,981,-1,31,-1,197,753,2,5.0,0.2,8003,39.0,Africa

Tunisia,918,-1,38,-1,190,690,32,78.0,3.0,19411,1642.0,Africa

Guinea,862,-1,6,-1,170,686,-1,66.0,0.5,-1,-1.0,Africa

Cyprus,804,9,14,1,98,692,15,666.0,12.0,40745,33747.0,Asia

Latvia,784,6,12,1,267,505,6,416.0,6.0,43080,22840.0,Europe

Andorra,731,8,40,3,333,358,17,9461.0,518.0,1673,21653.0,Europe

Diamond Princess,712,-1,13,-1,645,54,4,-1.0,-1.0,-1,-1.0,

Bolivia,703,31,43,3,44,616,3,60.0,4.0,4420,379.0,South America

Lebanon,696,8,22,-1,140,534,46,102.0,3.0,25337,3712.0,Asia

Costa Rica,686,-1,6,-1,196,484,8,135.0,1.0,12073,2370.0,North America

Albania,678,15,27,-1,394,257,4,236.0,9.0,6509,2262.0,Europe

Niger,671,-1,24,-1,256,391,-1,28.0,1.0,4832,200.0,Africa

Kyrgyzstan,656,25,8,-1,322,326,11,101.0,1.0,39615,6072.0,Asia

Burkina Faso,616,-1,41,-1,410,165,-1,29.0,2.0,-1,-1.0,Africa

Honduras,562,43,47,-1,50,465,10,57.0,5.0,3107,314.0,North America

Uruguay,557,8,12,-1,354,191,10,160.0,3.0,15142,4359.0,South America

Senegal,545,66,7,1,262,276,1,33.0,0.4,466,28.0,Africa

Channel Islands,523,2,34,5,295,194,-1,3008.0,196.0,3320,19095.0,Europe

San Marino,513,12,40,-1,64,409,3,15119.0,1179.0,1929,56851.0,Europe

Palestine,484,4,4,-1,92,388,-1,95.0,0.8,27000,5293.0,Asia

Malta,447,2,3,-1,223,221,2,1012.0,7.0,27422,62105.0,Europe

Georgia,444,19,5,-1,132,307,6,111.0,1.0,8375,2099.0,Asia

Jordan,441,4,7,-1,326,108,5,43.0,0.7,61608,6038.0,Asia

Taiwan,428,1,6,-1,264,158,-1,18.0,0.3,59026,2478.0,Asia

Sri Lanka,417,49,7,-1,109,301,2,19.0,0.3,13142,614.0,Asia

Réunion,412,-1,-1,-1,238,174,2,460.0,-1.0,-1,-1.0,Africa

DRC,394,17,25,-1,48,321,-1,4.0,0.3,-1,-1.0,Africa

Guatemala,384,42,11,1,30,343,5,21.0,0.6,7200,402.0,North America

Mayotte,354,28,4,-1,144,206,4,1298.0,15.0,2200,8064.0,Africa

Kenya,336,16,14,-1,94,228,2,6.0,0.3,16738,311.0,Africa

Mauritius,331,-1,9,-1,285,37,3,260.0,7.0,12835,10092.0,Africa

Somalia,328,-1,16,-1,8,304,2,21.0,1.0,-1,-1.0,Africa

Montenegro,319,3,6,1,123,190,7,508.0,10.0,5085,8096.0,Europe

Venezuela,318,20,10,-1,128,180,4,11.0,0.4,347236,12211.0,South America

Mali,309,-1,21,-1,77,211,-1,15.0,1.0,2023,100.0,Africa

Isle of Man,307,-1,16,-1,221,70,20,3610.0,188.0,2674,31447.0,Europe

Tanzania,284,-1,10,-1,48,226,7,5.0,0.2,-1,-1.0,Africa

Vietnam,270,2,-1,-1,225,45,8,3.0,-1.0,206253,2119.0,Asia

El Salvador,261,11,8,-1,72,181,2,40.0,1.0,16418,2531.0,North America

Jamaica,257,5,6,-1,28,223,-1,87.0,2.0,2213,747.0,North America

Paraguay,220,7,9,-1,70,141,1,31.0,1.0,6917,970.0,South America

Equatorial Guinea,214,5,1,-1,7,206,-1,153.0,0.7,854,609.0,Africa

Faeroe Islands,187,-1,-1,-1,178,9,-1,3827.0,-1.0,6458,132165.0,Europe

Congo,186,-1,6,-1,16,164,-1,34.0,1.0,-1,-1.0,Africa

Sudan,174,12,16,3,14,144,-1,4.0,0.4,-1,-1.0,Africa

Martinique,170,6,14,-1,77,79,6,453.0,37.0,-1,-1.0,North America

Gabon,167,-1,2,-1,24,141,1,75.0,0.9,572,257.0,Africa

Rwanda,154,-1,-1,-1,87,67,-1,12.0,-1.0,6959,537.0,Africa

Guadeloupe,149,1,12,-1,82,55,11,372.0,30.0,-1,-1.0,North America

Myanmar,144,12,5,-1,9,130,-1,3.0,0.09,5775,106.0,Asia

Brunei,138,-1,1,-1,120,17,2,315.0,2.0,12770,29190.0,Asia

Gibraltar,133,-1,-1,-1,129,4,-1,3948.0,-1.0,2062,61203.0,Europe

Cambodia,122,-1,-1,-1,110,12,1,7.0,-1.0,5768,345.0,Asia

Madagascar,122,1,-1,-1,61,61,1,4.0,-1.0,2357,85.0,Africa

Liberia,117,16,8,-1,25,84,-1,23.0,2.0,-1,-1.0,Africa

Ethiopia,117,1,3,-1,25,89,-1,1.0,0.03,11669,102.0,Africa

Maldives,116,8,-1,-1,16,100,2,215.0,-1.0,5296,9798.0,Asia

Trinidad and Tobago,115,-1,8,-1,48,59,-1,82.0,6.0,1473,1053.0,North America

French Guiana,107,-1,1,-1,84,22,1,358.0,3.0,-1,-1.0,South America

Aruba,100,-1,2,-1,68,30,4,937.0,19.0,1535,14377.0,North America

Bermuda,99,-1,5,-1,39,55,10,1590.0,80.0,949,15238.0,North America

Monaco,94,-1,4,-1,35,55,2,2395.0,102.0,-1,-1.0,Europe

Togo,90,2,6,-1,59,25,-1,11.0,0.7,4733,572.0,Africa

Cabo Verde,88,6,1,-1,1,86,-1,158.0,2.0,-1,-1.0,Africa

Zambia,84,8,3,-1,37,44,1,5.0,0.2,2586,141.0,Africa

Sierra Leone,82,18,2,1,10,70,-1,10.0,0.3,-1,-1.0,Africa

Liechtenstein,81,-1,1,-1,55,25,-1,2124.0,26.0,900,23605.0,Europe

Barbados,76,-1,6,-1,30,40,4,264.0,21.0,1222,4252.0,North America

Uganda,74,-1,-1,-1,46,28,-1,2.0,-1.0,17388,380.0,Africa

Sint Maarten,73,-1,12,-1,22,39,8,1703.0,280.0,266,6204.0,North America

Bahamas,72,-1,11,-1,14,47,1,183.0,28.0,-1,-1.0,North America

Haiti,72,-1,5,-1,2,65,-1,6.0,0.4,690,61.0,North America

Guyana,70,-1,7,-1,12,51,5,89.0,9.0,375,477.0,South America

Cayman Islands,66,-1,1,-1,7,58,3,1004.0,15.0,778,11838.0,North America

Mozambique,65,19,-1,-1,12,53,-1,2.0,-1.0,1439,46.0,Africa

Libya,60,-1,2,-1,18,40,-1,9.0,0.3,1337,195.0,Africa

French Polynesia,57,-1,-1,-1,36,21,1,203.0,-1.0,1803,6418.0,Australia/Oceania

Benin,54,-1,1,-1,27,26,-1,4.0,0.08,-1,-1.0,Africa

Guinea-Bissau,50,-1,-1,-1,3,47,-1,25.0,-1.0,1500,762.0,Africa

Nepal,49,1,-1,-1,10,39,-1,2.0,-1.0,9200,316.0,Asia

Macao,45,-1,-1,-1,27,18,1,69.0,-1.0,-1,-1.0,Asia

Syria,42,-1,3,-1,6,33,-1,2.0,0.2,-1,-1.0,Asia

Chad,40,7,-1,-1,8,32,-1,2.0,-1.0,-1,-1.0,Africa

Eritrea,39,-1,-1,-1,11,28,-1,11.0,-1.0,-1,-1.0,Africa

Saint Martin,38,-1,2,-1,20,16,3,983.0,52.0,-1,-1.0,North America

Eswatini,36,5,1,-1,10,25,-1,31.0,0.9,714,615.0,Africa

Mongolia,36,1,-1,-1,9,27,-1,11.0,-1.0,7234,2207.0,Asia

Malawi,33,-1,3,-1,3,27,1,2.0,0.2,519,27.0,Africa

Zimbabwe,29,1,4,-1,2,23,-1,2.0,0.3,5450,367.0,Africa

Angola,25,-1,2,-1,6,17,-1,0.8,0.06,-1,-1.0,Africa

Antigua and Barbuda,24,-1,3,-1,10,11,1,245.0,31.0,108,1103.0,North America

Timor-Leste,23,-1,-1,-1,1,22,-1,17.0,-1.0,322,244.0,Asia

Botswana,22,-1,1,-1,-1,21,-1,9.0,0.4,5023,2136.0,Africa

Laos,19,-1,-1,-1,4,15,-1,3.0,-1.0,1461,201.0,Asia

Belize,18,-1,2,-1,5,11,1,45.0,5.0,816,2052.0,North America

Fiji,18,-1,-1,-1,10,8,-1,20.0,-1.0,900,1004.0,Australia/Oceania

New Caledonia,18,-1,-1,-1,17,1,1,63.0,-1.0,3952,13842.0,Australia/Oceania

CAR,16,-1,-1,-1,10,6,-1,3.0,-1.0,-1,-1.0,Africa

Dominica,16,-1,-1,-1,9,7,-1,222.0,-1.0,377,5237.0,North America

Namibia,16,-1,-1,-1,7,9,-1,6.0,-1.0,590,232.0,Africa

Grenada,15,-1,-1,-1,7,8,4,133.0,-1.0,92,818.0,North America

Saint Kitts and Nevis,15,-1,-1,-1,2,13,-1,282.0,-1.0,260,4887.0,North America

Saint Lucia,15,-1,-1,-1,15,0,-1,82.0,-1.0,364,1982.0,North America

Curaçao,14,-1,1,-1,11,2,-1,85.0,6.0,304,1853.0,North America

St. Vincent Grenadines,14,1,-1,-1,5,9,-1,126.0,-1.0,108,973.0,North America

Falkland Islands,12,-1,-1,-1,11,1,-1,3448.0,-1.0,337,96839.0,South America

Nicaragua,11,-1,3,-1,7,1,-1,2.0,0.5,-1,-1.0,North America

Burundi,11,-1,1,-1,4,6,-1,0.9,0.08,284,24.0,Africa

Turks and Caicos,11,-1,1,-1,4,6,-1,284.0,26.0,83,2144.0,North America

Greenland,11,-1,-1,-1,11,0,-1,194.0,-1.0,1150,20257.0,North America

Montserrat,11,-1,-1,-1,2,9,1,2204.0,-1.0,36,7212.0,North America

Seychelles,11,-1,-1,-1,6,5,-1,112.0,-1.0,-1,-1.0,Africa

Gambia,10,-1,1,-1,2,7,-1,4.0,0.4,316,131.0,Africa

Suriname,10,-1,1,-1,6,3,-1,17.0,2.0,404,689.0,South America

MS Zaandam,9,-1,2,-1,-1,7,-1,-1.0,-1.0,-1,-1.0,

Vatican City,9,-1,-1,-1,2,7,-1,11236.0,-1.0,-1,-1.0,Europe

Papua New Guinea,8,-1,-1,-1,-1,8,-1,0.9,-1.0,604,68.0,Australia/Oceania

Mauritania,7,-1,1,-1,6,0,-1,2.0,0.2,1032,222.0,Africa

Bhutan,7,-1,-1,-1,3,4,-1,9.0,-1.0,8953,11603.0,Asia

St. Barth,6,-1,-1,-1,6,0,-1,607.0,-1.0,-1,-1.0,North America

Western Sahara,6,-1,-1,-1,5,1,-1,10.0,-1.0,-1,-1.0,Africa

British Virgin Islands,5,-1,1,-1,3,1,-1,165.0,33.0,-1,-1.0,North America

Caribbean Netherlands,5,-1,-1,-1,-1,5,-1,191.0,-1.0,110,4195.0,North America

South Sudan,5,1,-1,-1,-1,5,-1,0.4,-1.0,-1,-1.0,Africa

Sao Tome and Principe,4,-1,-1,-1,-1,4,-1,18.0,-1.0,19,87.0,Africa

Anguilla,3,-1,-1,-1,1,2,-1,200.0,-1.0,-1,-1.0,North America

Saint Pierre Miquelon,1,-1,-1,-1,-1,1,-1,173.0,-1.0,-1,-1.0,North America

Yemen,1,-1,-1,-1,1,0,-1,0.03,-1.0,120,4.0,Asia

China,82804,6,4632,-1,77257,915,57,58.0,3.0,-1,-1.0,Asia

